,time,speed,rpm,acceleration,throttle_position,engine_temperature,barometric_pressure,distance_travelled,engine_load_value,heart_rate,body_temperature,current_weather,temperature,visibility,precipitation,accidents_onsite,design_speed,risk_level
4895,15:09:02,0.6464646464646465,0.6896896896896898,0.5636792452830188,0.13013698630136986,0.20000000000000107,0.25,0.5500409666683586,0.6977611940298507,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4896,15:09:03,0.6464646464646465,0.6920253586920253,0.5636792452830188,0.2589041095890411,0.20000000000000107,0.25,0.5505285787828912,0.6977611940298507,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4897,15:09:04,0.6666666666666667,0.7027027027027026,0.6367924528301887,0.2534246575342466,0.20000000000000107,0.25,0.5509074298309853,0.7512437810945273,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.27868852459016397,0.5,1
4898,15:09:05,0.6666666666666667,0.7097097097097098,0.6485849056603774,0.18356164383561643,0.20000000000000107,0.25,0.5512536525591479,0.5708955223880596,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4899,15:09:06,0.6666666666666667,0.7110443777110445,0.5448113207547169,0.1191780821917808,0.20000000000000107,0.25,0.5516016879717511,0.3022388059701493,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4900,15:09:07,0.6666666666666667,0.703370037,0.5448113207547169,0.10273972602739725,0.20000000000000107,0.25,0.5519587868065575,0.24378109452736316,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4901,15:09:08,0.6565656565656566,0.6980313646980314,0.5448113207547169,0.097260274,0.3000000000000007,0.25,0.5526113532051886,0.14179104477611945,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.28688524590163933,0.5,1
4902,15:09:09,0.6565656565656566,0.6836836836836837,0.5448113207547169,0.054794521,0.3000000000000007,0.25,0.5526113532051886,0.019900498,0.6363636363636362,0.8181818181818183,0.33333333333333304,0,0,0,0.29098360655737704,0.5,1
4903,15:09:10,0.6363636363636365,0.6780113446780114,0.5448113207547169,0.08630137,0.3000000000000007,0.25,0.5527726821204058,0.3072139303482587,0.6363636363636362,0.8181818181818183,0.33333333333333304,0,0,0,0.29098360655737704,0.5,1
4904,15:09:11,0.6464646464646465,0.6773440106773441,0.5235849056603774,0.1136986301369863,0.3000000000000007,0.25,0.5531261555863309,0.3072139303482587,0.6363636363636362,0.8181818181818183,0.33333333333333304,0,0,0,0.29918032786885246,0.5,1
4905,15:09:12,0.6464646464646465,0.6820153486820153,0.6179245283018868,0.22602739726027396,0.20000000000000107,0.25,0.5534923178433406,0.6927860696517414,0.6363636363636362,0.8181818181818183,0.33333333333333304,0,0,0,0.29508196721311475,0.5,1
4906,15:09:13,0.6565656565656566,0.7027027027027026,0.6179245283018868,0.3178082191780822,0.20000000000000107,0.25,0.5538204137270967,0.7126865671641791,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.29508196721311475,0.5,1
4907,15:09:14,0.6565656565656566,0.7791124457791125,0.6179245283018868,0.5438356164383561,0.20000000000000107,0.25,0.5541738871930219,0.9166666666666667,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.30327868852459017,0.5,1
4908,15:09:15,0.6767676767676768,0.5325325325325325,0.6509433962264151,0.547945205,0.20000000000000107,0.25,0.5545056084456593,0.9166666666666667,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.3073770491803279,0.5,1
4909,15:09:16,0.6767676767676768,0.5382048715382048,0.6533018867924528,0.097260274,0.20000000000000107,0.25,0.5546669373608765,0.4639303482587065,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.27459016393442626,0.5,1
4910,15:09:17,0.6767676767676768,0.5355355355355356,0.5872641509433962,0.049315068493150704,0.3000000000000007,0.25,0.5551128577332743,0.048507463,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.27049180327868855,0.5,1
4911,15:09:18,0.6565656565656566,0.5298631965298632,0.4764150943396227,0.054794521,0.3000000000000007,0.25,0.5554427663014712,0.048507463,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.27049180327868855,0.5,1
4912,15:09:19,0.6060606060606061,0.47080413747080413,0.39150943396226423,0.049315068493150704,0.40000000000000036,0.25,0.5556983548076017,0.048507463,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.27868852459016397,0.5,1
4913,15:09:20,0.5757575757575758,0.44477811144477813,0.39622641509433965,0.043835616,0.40000000000000036,0.25,0.55604639,0.058457711,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.38934426229508196,0.5,1
4914,15:09:21,0.5757575757575758,0.4511177844511178,0.42924528301886794,0.075342466,0.40000000000000036,0.25,0.5562602869842007,0.21019900497512442,0.6136363636363635,0.8181818181818183,0.33333333333333304,0,0,0,0.36475409836065575,0.5,1
4915,15:09:22,0.595959596,0.4544544544544545,0.6415094339622641,0.069863014,0.40000000000000036,0.25,0.5566046970279226,0.13681592039800997,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.24180327868852458,0.5,1
4916,15:09:23,0.595959596,0.4567901234567901,0.6415094339622641,0.049315068493150704,0.40000000000000036,0.25,0.556896539,0.029850746268656775,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.25,0.5,1
4917,15:09:24,0.595959596,0.4584584584584585,0.5872641509433962,0.049315068493150704,0.40000000000000036,0.25,0.557063306,0.048507463,0.5909090909090908,0.8181818181818183,0.33333333333333304,0,0,0,0.21721311475409835,0.5,1
